City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,college,64.8569,-147.8028,-14.03,72,100,0.0,US,1738698640
162,port moresby,-9.4431,147.1797,24.68,88,75,2.57,PG,1738698641
163,banda aceh,5.5577,95.3222,24.15,83,100,4.89,ID,1738698643
164,pozo del molle,-32.0186,-62.9198,40.79,17,0,2.74,AR,1738698644
165,shizilu,35.1711,118.8289,-2.46,33,99,1.78,CN,1738698645
166,acarau,-2.8856,-40.12,27.87,76,95,5.95,BR,1738698647
167,keren,15.7778,38.4581,17.9,76,0,4.1,ER,1738698649
168,sechura,-5.5569,-80.8222,28.33,57,24,7.31,PE,1738698650
169,mount isa,-20.7333,139.5,23.87,88,100,2.06,AU,1738698651
170,northam,51.0333,-4.2167,8.22,76,0,2.68,GB,1738698652
171,nouadhibou,20.931,-17.0347,18.13,77,0,10.36,MR,1738698653
172,tazacorte,28.629,-17.9293,18.54,72,75,5.66,ES,1738698403
173,carahue,-38.7,-73.1667,25.16,29,100,4.52,CL,1738698656
174,bazarnyy karabulak,52.2683,46.4144,-4.37,96,100,6.88,RU,1738698657
175,dalandzadgad,43.5708,104.425,-17.14,60,0,4.09,MN,1738698658
176,san luis de la loma,17.2706,-100.8939,29.28,55,0,3.16,MX,1738698659
177,auki,-8.7676,160.7034,25.28,88,100,1.5,SB,1738698660
178,yanaul,56.2719,54.9309,-6.57,93,100,2.66,RU,1738698661
179,kekri,25.9667,75.15,14.5,33,0,4.04,IN,1738698662
180,vadso,70.0744,29.7487,-14.91,85,75,8.23,NO,1738698664
181,damanhur,31.0392,30.4691,11.02,91,0,2.22,EG,1738698665
182,mulayjah,27.271,48.4242,15.11,26,1,4.25,SA,1738698666
183,saudarkrokur,65.7461,-19.6394,-4.4,81,98,5.83,IS,1738698667
184,santo antonio,-6.3106,-35.4789,27.0,72,100,5.44,BR,1738698668
185,thompson,55.7435,-97.8558,-21.91,64,0,7.2,CA,1738698670
186,tocopilla,-22.092,-70.1979,22.75,75,27,2.52,CL,1738697981
187,pisco,-13.7,-76.2167,28.03,61,0,5.66,PE,1738698672
188,namibe,-15.1961,12.1522,23.9,82,100,2.86,AO,1738698673
189,kindu,-2.95,25.95,21.51,98,100,2.04,CD,1738698675
190,kuanda,56.3161,116.0806,-27.48,96,100,0.44,RU,1738698676
191,hobyo,5.3505,48.5268,24.16,83,7,9.69,SO,1738698677
192,alice springs,-23.7,133.8833,24.75,61,99,2.57,AU,1738698450
193,flying fish cove,-10.4217,105.6791,26.82,89,100,8.75,CX,1738698595
194,tralee,52.2704,-9.7026,5.89,77,33,5.87,IE,1738698680
195,tres arroyos,-38.3739,-60.2798,26.87,31,3,7.62,AR,1738698561
196,vilyuchinsk,52.9306,158.4028,-7.85,93,86,1.05,RU,1738698683
197,sai buri,6.7013,101.6168,24.09,79,100,3.76,TH,1738698684
198,isangel,-19.55,169.2667,26.37,85,94,6.68,VU,1738698685
199,imbituba,-28.24,-48.6703,26.97,77,69,4.49,BR,1738698687
200,la ronge,55.1001,-105.2842,-22.86,64,0,2.57,CA,1738698688
201,ladario,-19.0047,-57.6017,33.05,58,40,2.57,BR,1738698689
202,malango,-2.9627,119.9001,18.55,94,100,1.4,ID,1738698690
203,north battleford,52.7834,-108.2847,-22.95,77,100,2.06,CA,1738698691
204,whakatane,-37.9585,176.9854,20.28,90,96,1.61,NZ,1738698692
205,diosig,47.3,22.0,-0.58,75,0,0.21,RO,1738698695
206,nemuro,43.3236,145.575,-0.98,76,43,9.48,JP,1738698696
207,puerto baquerizo moreno,-0.9,-89.6,30.55,62,20,7.2,EC,1738698697
208,barao de cocais,-19.9458,-43.4872,24.13,76,100,1.95,BR,1738698662
209,aur,8.1499,171.1687,26.85,84,53,11.36,MH,1738698699
210,nova sintra,14.8667,-24.7167,21.96,73,100,10.02,CV,1738698701
211,rongelap,11.1635,166.8941,26.51,79,100,8.74,MH,1738698702
212,woodward,36.4337,-99.3904,-2.49,93,100,2.06,US,1738698703
213,hithadhoo,-0.6,73.0833,27.66,70,4,4.11,MV,1738698704
214,daru,-9.0763,143.2092,25.54,91,100,3.65,PG,1738698705
215,barabai,-2.5833,115.3833,23.12,97,91,0.99,ID,1738698706
216,meulaboh,4.1363,96.1285,24.3,92,100,1.79,ID,1738698708
217,gympie,-26.1898,152.665,21.51,94,100,1.36,AU,1738698709
218,arenapolis,-14.4503,-56.8461,27.05,82,100,1.01,BR,1738698710
219,namsos,64.4662,11.4957,-1.05,86,75,5.66,NO,1738698711
220,qaqortoq,60.7167,-46.0333,-18.67,65,86,4.84,GL,1738698712
221,kristiansund,63.1115,7.732,6.74,81,75,2.57,NO,1738698713
222,muli,2.9167,73.5667,27.69,68,2,5.31,MV,1738698715
223,archangelos,36.2149,28.1149,13.99,86,9,4.59,GR,1738698716
224,nema,57.5067,50.5011,-2.36,95,100,2.84,RU,1738698717
225,okha,53.5739,142.9478,-5.87,77,100,8.35,RU,1738698718
226,machico,32.7,-16.7667,17.78,67,40,4.12,PT,1738698719
227,fort bragg,35.139,-79.006,24.91,36,0,4.63,US,1738698720
228,qarazhal,48.0078,70.7903,-9.66,79,64,4.55,KZ,1738698722
229,vorgashor,67.5833,63.95,-22.87,99,79,1.4,RU,1738698723
230,gadzhiyevo,69.2551,33.3362,-20.1,99,100,6.16,RU,1738698724
231,colonia,50.9333,6.95,-0.02,85,0,3.09,DE,1738698668
